,timestamp,location,price,FirstName,LastName_x,CarID,CurrentEmploymentType,CurrentEmploymentTitle,date
0,1/6/2014 7:28,Brew've Been Served,11.34,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-06
1,1/6/2014 13:23,Hippokampos,13.26,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-06
2,1/7/2014 7:33,Brew've Been Served,7.09,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-07
3,1/7/2014 13:33,Kalami Kafenion,18.06,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-07
4,1/7/2014 20:10,Guy's Gyros,26.82,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-07
5,1/8/2014 8:00,Brew've Been Served,32.3,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-08
6,1/8/2014 13:15,Hippokampos,9.03,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-08
7,1/9/2014 7:48,Brew've Been Served,5.13,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-09
8,1/9/2014 13:21,Gelatogalore,23.45,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-09
9,1/9/2014 20:19,General Grocer,285.34,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-09
10,1/10/2014 7:56,Brew've Been Served,97.25,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-10
11,1/10/2014 13:20,Hippokampos,79.26,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-10
12,1/10/2014 14:41,Octavio's Office Supplies,139.72,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-10
13,1/10/2014 19:54,Guy's Gyros,27.78,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-10
14,1/11/2014 16:24,Ahaggo Museum,89.32,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-11
15,1/11/2014 19:29,Hippokampos,63.21,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-11
16,1/13/2014 7:43,Brew've Been Served,18.71,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-13
17,1/13/2014 13:37,Ouzeri Elian,95.03,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-13
18,1/13/2014 20:11,Guy's Gyros,20.47,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-13
19,1/14/2014 7:31,Brew've Been Served,4.72,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-14
20,1/14/2014 13:34,Katerinas Café,29.1,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-14
21,1/14/2014 20:01,Guy's Gyros,23.59,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-14
22,1/15/2014 7:57,Brew've Been Served,4.92,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-15
23,1/16/2014 7:53,Brew've Been Served,4.7,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-16
24,1/16/2014 13:39,Abila Zacharo,69.27,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-16
25,1/16/2014 19:40,Guy's Gyros,37.8,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-16
26,1/17/2014 7:59,Brew've Been Served,19.39,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-17
27,1/17/2014 13:27,Hippokampos,14.57,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-17
28,1/17/2014 19:53,Guy's Gyros,35.1,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-17
29,1/18/2014 19:36,Abila Zacharo,21.29,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-18
30,1/19/2014 13:23,Katerinas Café,70.22,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-19
31,1/19/2014 15:53,Frydos Autosupply n' More,209.76,Edvard,Vann,34.0,Security,Perimeter Control,2014-01-19
32,1/6/2014 7:34,Hallowed Grounds,52.22,Hideki,Cocinaro,12.0,Security,Site Control,2014-01-06
33,1/6/2014 14:05,Abila Zacharo,78.11,Hideki,Cocinaro,12.0,Security,Site Control,2014-01-06
